xyz,u_total,u_lj,u_lrc
lj_sample_config_periodic4.xyz,-17.335487306120427,-16.790321304625856,-0.54516600149457062
lj_triclinic_sample_config_periodic3.xyz,-535.15754375965616,-505.78567945268367,-29.37186430697248
